                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6514,                  1.668,                 1.1485,                 0.4167,                0.19297,                0.19625,                0.12499,                 1.2663,                 1.1637,                 1.0121,               0.066813,              3.322e-05,              3.322e-05
                      2,                 1.3095,                 1.0942,                 1.0056,                0.76987,                 0.2101,                0.26854,                0.18178,                 1.1048,                0.95508,                0.94875,               0.033513,             6.5894e-05,             6.5894e-05
                      3,                 1.2257,                0.96084,                   0.98,                0.55404,                0.27654,                0.30417,                 0.2066,                 1.0708,                0.88177,                0.92957,             0.00021129,             9.7909e-05,             9.7909e-05
                      4,                  1.167,                0.92103,                0.95895,                0.49688,                 0.3213,                0.29764,                0.20167,                 1.0105,                0.86194,                 0.9276,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 1.1184,                0.84977,                0.94765,                0.80284,                0.26841,                0.33506,                0.23797,                 1.0066,                0.82992,                0.91506,              9.703e-05,              9.703e-05,              9.703e-05
                      6,                 1.0921,                0.82165,                0.93971,                0.70168,                0.29538,                0.32255,                0.21768,                0.99823,                0.77462,                0.90618,              9.604e-05,              9.604e-05,              9.604e-05
                      7,                  1.056,                0.78736,                0.93095,                0.62329,                0.27794,                0.35685,                 0.2487,                0.97408,                0.77732,                0.90865,              9.505e-05,              9.505e-05,              9.505e-05
                      8,                 1.0381,                0.75142,                0.92849,                0.68617,                0.31852,                0.37257,                0.25378,                0.97709,                0.74793,                0.90009,              9.406e-05,              9.406e-05,              9.406e-05
                      9,                 1.0143,                0.73977,                0.91502,                0.77418,                0.30319,                0.37358,                0.26719,                0.94262,                 0.7646,                 0.8966,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                 1.0231,                0.73671,                0.91653,                0.52681,                0.36201,                 0.3776,                0.26093,                 0.9878,                0.74139,                0.90515,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                 1.0023,                0.71154,                0.91851,                0.75097,                0.34562,                0.39603,                0.28757,                0.92366,                0.69578,                0.88988,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                0.99058,                0.70455,                0.91141,                0.63684,                0.36054,                0.39014,                0.26634,                0.92221,                 0.6956,                0.88861,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                0.98312,                 0.7066,                0.91125,                0.81716,                0.32479,                0.37266,                0.26602,                0.89995,                0.68682,                0.89104,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                0.95931,                0.68365,                0.90465,                0.75476,                0.31455,                0.38105,                0.27242,                0.91184,                0.71946,                0.89619,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                0.95927,                0.67119,                0.90507,                0.69378,                0.37306,                0.39417,                0.27623,                 0.9115,                0.67783,                0.89576,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                0.95973,                 0.6638,                0.90454,                0.78747,                0.35979,                0.39882,                0.28189,                0.92066,                0.67694,                0.88897,              8.614e-05,              8.614e-05,              8.614e-05
